CAND_ID,degree_in,degree_in_raw,degree_out,degree_out_raw,pagerank,katz,CANDIDATE NAME,in_closeness,out_closeness,total,negative,positive,absolute,PAC,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,cumulative_occurrence,24E,24A,total_24a_positive,total_24e_positive,chairs_next,chairs_now
H6FL00046,0.002304147465437788,1,0.04377880184331797,19,0.0016577187880354477,0.02572412036822354,"Boyd, Allen",0.08798568095889309,0.069604707999465,908370,-17.5,925.87,943.37,258,DEM,FL,1,0.0,0.0,0.0,0.0,0,0
H0UT02096,0.027649769585253454,12,0.002304147465437788,1,0.0013057327757809206,0.03865258994091178,"Matheson, Jim",0.07666302028936726,0.002304147465437788,1299611,-37.152,1336.763,1373.915,337,DEM,UT,1,0.0,0.0,0.0,0.0,0,0
H4LA03028,0.002304147465437788,1,0.06912442396313365,30,0.0009459436335044755,0.018893509416469757,"Melancon, ""Charlie""",0.07267200425235042,0.07713504190583986,806828,-26.0,832.828,858.828,272,DEM,LA,1,0.0,0.0,0.0,0.0,0,0
H6OH06095,0.002304147465437788,1,0.02304147465437788,10,0.0009459436335044755,0.018893509416469757,"Wilson, Charlie",0.07274692384436315,0.048942828073835314,516140,-16.2,532.34,548.54,154,DEM,OH,1,0.0,0.0,0.0,0.0,0,0
H6MI01028,0.004608294930875576,2,0.03456221198156682,15,0.0009865886597381298,0.020194401208790975,"Conyers, John, Jr.",0.00754084625052367,0.08269408011343496,592218,-53.65,645.868,699.518,188,DEM,MI,1,0.0,0.0,0.0,0.0,1,1
H8IN02060,0.004608294930875576,2,0.004608294930875576,2,0.0009664665476469402,0.019585316957067545,"Pence, Mike",0.004608294930875576,0.054972769166317555,484691,-6.2,490.891,497.091,157,REP,IN,1,0.0,0.0,0.0,0.0,1,0
H4CA17021,0.0,0,0.018433179723502304,8,0.0008717652851550921,0.016321097464222955,"Farr, Sam",0.0,0.04833736697278122,408474,-8.5,416.974,425.474,154,DEM,CA,1,0.0,0.0,0.0,0.0,0,0
H2TN03052,0.0,0,0.020737327188940093,9,0.0008717652851550921,0.016321097464222955,"Wamp, Zach",0.0,0.05049088359046283,332444,-5.779,338.223,344.002,110,REP,TN,1,0.0,0.0,0.0,0.0,0,0
H4FL14059,0.002304147465437788,1,0.006912442396313364,3,0.0011413955186860235,0.018132739282751702,"Mack, Connie",0.0034562211981566822,0.0069124423963133645,296700,-8.135,304.835,312.97,117,REP,FL,1,0.0,0.0,0.0,0.0,0,0
H4OK02089,0.002304147465437788,1,0.009216589861751152,4,0.0008900130277170683,0.018377458747915763,"Boren, Dan",0.00754084625052367,0.06856014295118969,799866,-21.25,821.116,842.366,250,DEM,OK,1,0.0,0.0,0.0,0.0,0,0
H8CA12098,0.0,0,0.04377880184331797,19,0.0008717652851550921,0.016321097464222955,"Eshoo, Anna G.",0.0,0.0842325416518965,763749,-22.0,785.749,807.749,235,DEM,CA,1,0.0,0.0,0.0,0.0,0,0
H4PA18131,0.0,0,0.02534562211981567,11,0.0008717652851550921,0.016321097464222955,"Doyle, Mike",0.0,0.06549180870063723,548032,-10.8,558.832,569.632,159,DEM,PA,1,0.0,0.0,0.0,0.0,0,0
H2MI01068,0.002304147465437788,1,0.002304147465437788,1,0.0009391416774417825,0.017953207210645254,"Stupak, Bart",0.002304147465437788,0.04532137611613214,791929,-10.0,801.929,811.929,217,DEM,MI,1,0.0,0.0,0.0,0.0,0,0
H6FL09070,0.002304147465437788,1,0.004608294930875576,2,0.0009458793166704515,0.017953207210645254,"Bilirakis, Gus Michael",0.002304147465437788,0.05072990443200445,305291,-4.0,309.291,313.291,110,REP,FL,1,0.0,0.0,0.0,0.0,0,0
H2MA11060,0.0,0,0.041474654377880185,18,0.0008717652851550921,0.016321097464222955,"Delahunt, William D.",0.0,0.08248575246093857,124322,-20.5,144.822,165.322,44,DEM,MA,1,0.0,0.0,0.0,0.0,0,0
H2GA01157,0.0,0,0.004608294930875576,2,0.0008717652851550921,0.016321097464222955,"Kingston, Jack",0.0,0.050900712191034765,377497,-7.5,384.997,392.497,141,REP,GA,1,0.0,0.0,0.0,0.0,0,0
H8CT01046,0.0,0,0.11059907834101382,48,0.0008717652851550921,0.016321097464222955,"Larson, John B.",0.0,0.0923184911648915,777954,-46.8,824.754,871.554,219,DEM,CT,1,0.0,0.0,0.0,0.0,1,0
H4TN06051,0.01152073732718894,5,0.013824884792626727,6,0.0012004630874391017,0.025050140752591377,"Davis, Lincoln",0.013919575784357046,0.04570213027857489,703504,-10.5,714.004,724.504,183,DEM,TN,1,0.0,0.0,0.0,0.0,0,0
H4NC10047,0.002304147465437788,1,0.004608294930875576,2,0.0009335269780845583,0.017953207210645254,"McHenry, Patrick",0.002304147465437788,0.009822944457918991,642755,-19.5,662.255,681.755,163,REP,NC,1,0.0,0.0,0.0,0.0,0,0
H0FL12051,0.002304147465437788,1,0.009216589861751152,4,0.0012685902489317016,0.018116418185287482,"Putnam, Adam H.",0.0030721966205837174,0.01228878648233487,912291,-28.0,940.291,968.291,283,REP,FL,1,0.0,0.0,0.0,0.0,0,1
H0CA15148,0.0,0,0.09216589861751152,40,0.0008717652851550921,0.016321097464222955,"Honda, Mike",0.0,0.10176794065749577,363198,-9.5,372.698,382.198,134,DEM,CA,1,0.0,0.0,0.0,0.0,0,0
H2TX03118,0.002304147465437788,1,0.04377880184331797,19,0.0009416598416134056,0.01832452815320141,"Johnson, Sam",0.03826237332019438,0.06612799900808002,591367,-23.5,614.867,638.367,223,REP,TX,1,0.0,0.0,0.0,0.0,0,0
H2CA19054,0.0,0,0.016129032258064516,7,0.0008717652851550921,0.016321097464222955,"Radanovich, George P.",0.0,0.05890907816579348,323505,-3.0,326.505,329.505,126,REP,CA,1,0.0,0.0,0.0,0.0,0,0
H4NY27076,0.002304147465437788,1,0.04838709677419355,21,0.004414981082603288,0.026428252132505575,"Higgins, Brian",0.11272286921570648,0.07537195523370638,358756,-9.12,367.876,376.996,102,DEM,NY,1,0.0,0.0,0.0,0.0,0,0
H2NY01067,0.002304147465437788,1,0.027649769585253454,12,0.0008942240825839888,0.017953207210645254,"Bishop, Timothy H.",0.002304147465437788,0.07656859269762496,474904,-10.0,484.904,494.904,131,DEM,NY,1,0.0,0.0,0.0,0.0,0,0
H0CA27085,0.0,0,0.009216589861751152,4,0.0008717652851550921,0.016321097464222955,"Schiff, Adam B.",0.0,0.050708634031823324,439471,-6.0,445.471,451.471,160,DEM,CA,1,0.0,0.0,0.0,0.0,0,0
H6CA22125,0.002304147465437788,1,0.08294930875576037,36,0.0010687442193557499,0.02003432528501341,"McCarthy, Kevin",0.046559061412583466,0.11343495214462958,481765,-9.247,491.012,500.259,173,REP,CA,1,0.0,0.0,0.0,0.0,0,0
H0FL18025,0.002304147465437788,1,0.01152073732718894,5,0.0008950175023316488,0.0185248707537107,"Ros-Lehtinen, Ileana",0.038504540239942445,0.05650016773487296,461009,-16.0,477.009,493.009,149,REP,FL,1,0.0,0.0,0.0,0.0,1,1
H0AL07060,0.004608294930875576,2,0.03225806451612903,14,0.0009244328286876064,0.020422422651907038,"Davis, Artur",0.058462730844268646,0.06869839669738863,1049916,-18.705,1068.621,1087.326,299,DEM,AL,1,0.0,0.0,0.0,0.0,0,0
H2CA26026,0.0,0,0.07834101382488479,34,0.0008717652851550921,0.016321097464222955,"Berman, Howard L.",0.0,0.11134135403457768,455890,-21.1,476.99,498.09,132,DEM,CA,1,0.0,0.0,0.0,0.0,1,1
H2PA09035,0.0,0,0.006912442396313364,3,0.0008717652851550921,0.016321097464222955,"Shuster, Bill",0.0,0.009216589861751152,433450,-11.5,444.95,456.45,160,REP,PA,1,0.0,0.0,0.0,0.0,0,0
H8FL16022,0.04838709677419355,21,0.002304147465437788,1,0.019223413805609078,0.06402206892784525,"Rooney, Tom",0.06414119379379926,0.0,546408,-1.0,547.408,548.408,116,REP,FL,1,0.0,0.0,0.0,0.0,0,0
H4TX10028,0.0,0,0.03225806451612903,14,0.0008717652851550921,0.016321097464222955,"Doggett, Lloyd",0.0,0.07486232879349962,441391,-15.002,456.393,471.395,138,DEM,TX,1,0.0,0.0,0.0,0.0,0,0
H6MI16034,0.0,0,0.1497695852534562,65,0.0008717652851550921,0.016321097464222955,"Dingell, John D.",0.0,0.138484882544678,1952549,-41.0,1993.549,2034.549,446,DEM,MI,1,0.0,0.0,0.0,0.0,0,1
H2CA18056,0.002304147465437788,1,0.0944700460829493,41,0.0008797425697948335,0.018358546553477142,"Cardoza, Dennis A.",0.007373271889400922,0.10212014720021219,565232,-29.5,594.732,624.232,184,DEM,CA,1,0.0,0.0,0.0,0.0,0,0
H6CA46033,0.002304147465437788,1,0.01152073732718894,5,0.0008900130277170683,0.018377458747915763,"Sanchez, Loretta",0.007148765213281343,0.12562819588364696,550831,-13.0,563.831,576.831,152,DEM,CA,1,0.0,0.0,0.0,0.0,0,0
